namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin
JAKARTA PUSAT,ASDY NARANG2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,89882,4,"ASDY NARANG, SH, M.Comm.Law",Laki-Laki
JAKARTA SELATAN,NASUTION HAMKA 3.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,89979,5,"Dr. RAHMAT NASUTION HAMKA, S.H, M.Si",Laki-Laki
JAKARTA PUSAT,DSC_1055 copy02.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,295902,6,ENDAH PRATIWI,Perempuan
KOTA BANJARMASIN,MRK PDIP Kalsel 1.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,263193,1,H.M RIFQINIZAMY KARSAYUDA,Laki-Laki
JAKARTA TIMUR,ian kasela.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,57313,2,IAN KASELA,Laki-Laki
JAKARTA TIMUR,FOTO BEGRON MERAH.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25646,3,"Dr. HJ. ROSIYATI MH THAMRIN, S.E, M.M.",Perempuan
TANAH BUMBU,dardiansyah.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25000,4,Drs. H.M DARDIANSYAH,Laki-Laki
TANAH BUMBU,BERRY (1).jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,296015,5,"BERRY NAHDIAN FORQAN, S.P, M.S",Laki-Laki
TANAH BUMBU,PARTAI DEMOKRASI INDONESIA PERJUANGAN,303416,6,"MASRIAH, S,Si",Perempuan
TANAH BUMBU,sulaiman umar.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,277184,1,dr. H. SULAIMAN UMAR,Laki-Laki
KOTA BANJARMASIN,aida musliah.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25749,2,"HJ. AIDA MUSLIMAH, S.E.",Perempuan
TANAH BUMBU,SYAFRUDDIN H. MAMING.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,101988,3,"SYAFRUDDIN H. MAMING, S.Sos",Laki-Laki
TANAH BUMBU,nnn.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25758,4,"NOVRI OMPUSUNGU, S.H.",Laki-Laki
TANAH LAUT,ELLYSA 2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25773,5,ELLYSA KURNIA HANDAYANI,Perempuan
KOTA BALIKPAPAN,Photo2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,268468,1,H. SAFARUDDIN,Laki-Laki
KOTA SAMARINDA,ibu 2.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,271647,2,"HJ. RINI GUSTIANA, S.Psi",Perempuan
KOTA SAMARINDA,DSC_0045.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,269917,3,"Dr. Ir. H. RUSMADI, M.S.",Laki-Laki
PASER,kewot kaltim.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,60280,4,"HERMANTO KEWOT, S.P.",Laki-Laki
KUTAI BARAT,IMG-20180711-WA0026.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,38504,5,"ISMAIL THOMAS, S.H, M.Si",Laki-Laki
JAKARTA SELATAN,CAHYA.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,272747,6,CAHYA NURAINI LUBIS,Perempuan
KOTA BALIKPAPAN,andika.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,60413,7,ANDHIKA HASAN,Laki-Laki
KOTA SAMARINDA,ibu murni.JPG,PARTAI DEMOKRASI INDONESIA PERJUANGAN,278025,8,MURNI HARTININGSIH,Perempuan
MINAHASA UTARA,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,108054,1,"Dra. ADRIANA CHARLOTTE DONDOKAMBEY, M.Si",Perempuan
BOLAANG MONGONDOW SELATAN,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20219,2,"H. HERSON MAYULU, S.IP",Laki-Laki
MINAHASA,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,255829,3,"Drs. JANTJE W.SAJOW, M,Si",Laki-Laki
KOTA MANADO,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20344,4,"DJENRI ALTING KEINTJEM, S.H.,M.H.",Laki-Laki
JAKARTA TIMUR,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,20460,5,VANDA SARUNDAJANG,Perempuan
JAKARTA SELATAN,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,107406,6,"Dr. JEFFRY J. WURANGIAN, S.E.,M.Sc",Laki-Laki
JAKARTA PUSAT,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19291,1,Ir. RENDY M AFFANDY LAMADJIDO,Laki-Laki
KOTA PALU,FOTO MATINDAS.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,19427,2,"MATINDAS J RUMAMBI, S.Sos",Laki-Laki
SIGI,FOTO IKA FATMAWATI_DPR RI SULTENG.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,40438,3,"IKA FATMAWATI, S.E., M.Si., M.M.",Perempuan
SIGI,FOTO.jpeg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,25686,4,MOHAMMAD NURUL HAQ,Laki-Laki
JAKARTA PUSAT,DWI TJIPTODHARMONO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,263648,5,DWI TJIPTODHARMONO,Laki-Laki
KOTA PONTIANAK,FOTO.jpg,PARTAI DEMOKRASI INDONESIA PERJUANGAN,264267,6,WA ODE FARIDA SILVIA DJARUDJU,Perempuan
