namaKab,originalFilename,namaPartai,id,noUrut,nama,stringJenisKelamin,idPartai,idDapil,idPro
KOTA BATAM,E-FOTO BERWARNA 4X6_ABDUL BASYID_KEPRI.jpg,Partai Kebangkitan Bangsa,20897,1,"Drs. ABDUL BASYID HAS, M.Pd",Laki-Laki,1,17,25405
KARIMUN,E-FOTO BERWARNA 4X6_SAMUEL BONAPARTE HUTAPEA_KEPRI.jpg,Partai Kebangkitan Bangsa,23271,2,"CAPT. SAMUEL BONAPARTE HUTAPEA, A.Md., S.E., S.H., M.H., M.Mar",Laki-Laki,1,17,25405
KOTA BATAM,E-FOTO BERWARNA 4X6_ERNY TAMBING_KEPRI.jpg,Partai Kebangkitan Bangsa,28282,3,"ERNY TAMBING, S.Pd.AUD., M.Pd",Perempuan,1,17,25405
KOTA BATAM,E-FOTO BERWARNA 4X6_RENNY YULIA ELSHA_KEPRI.jpg,Partai Kebangkitan Bangsa,20929,4,"RENNY YULIA ELSHA, S.Si., M.Pd.",Perempuan,1,17,25405
KOTA BANDUNG,E-FOTO_ELLA M. GIRIKOMALA_JABAR l-001.jpg,Partai Kebangkitan Bangsa,47378,1,"Dra. Hj. ELLA M.GIRIKOMALA, M.M.PD.",Perempuan,1,21,26141
BANDUNG,E-FOTO_DUDDY S.SUTANDI_JABAR l.jpg,Partai Kebangkitan Bangsa,25971,2,"H DUDDY S. SUTANDI, SE",Laki-Laki,1,21,26141
KOTA DEPOK,E-FOTO_ACHMAD SONNY SURYANTO_JABAR l-001.jpg,Partai Kebangkitan Bangsa,28620,3,RADEN ACHMAD SONNY SURYANTO,Laki-Laki,1,21,26141
KOTA BANDUNG,E-FOTO_H. NANANG SUGIRI_JABAR I.jpg,Partai Kebangkitan Bangsa,141885,4,"Drs. H. NANANG SUGIRI, MH",Laki-Laki,1,21,26141
BANDUNG,E-FOTO_AI SUTRIANSIH_JABAR l.jpg,Partai Kebangkitan Bangsa,25677,5,"HJ. AI SUTRIANSIH, S.SOS, M.PD",Perempuan,1,21,26141
KOTA BANDUNG,E-FOTO_ROBIANA DANI_JABAR l.jpg,Partai Kebangkitan Bangsa,117795,6,"ROBBIANA DANI AWALLUDIN, SE",Laki-Laki,1,21,26141
KOTA BANDUNG,E-FOTO_IIS NOERY ALWANY_JABAR l-001.jpg,Partai Kebangkitan Bangsa,46332,7,HJ. IIS NOERY ALWANI,Perempuan,1,21,26141
BANDUNG,4X6 H CUCUN.jpg,Partai Kebangkitan Bangsa,28842,1,"CUCUN AHMAD SYAMSURIJAL, S.Ag",Laki-Laki,1,22,26141
BANDUNG,PAS PHOTO WARNA_Enung Dariah_JABAR II-1.jpg,Partai Kebangkitan Bangsa,40985,2,"HJ. ENUNG DARIAH R, M.PD.I",Perempuan,1,22,26141
BANDUNG BARAT,PAS PHOTO_Ade Ratmadja_JABAR II.jpg,Partai Kebangkitan Bangsa,60835,3,DRS. ADE RATMADJA,Laki-Laki,1,22,26141
BANDUNG,Photo 5R merah.jpg,Partai Kebangkitan Bangsa,29199,4,ENJANG HUDORI,Laki-Laki,1,22,26141
BANDUNG,PAS PHOTO_Rosadi_JABAR II.jpg,Partai Kebangkitan Bangsa,78973,5,"H. ROSADI, S.Ag",Laki-Laki,1,22,26141
PURWAKARTA,FOTO 2.jpg,Partai Kebangkitan Bangsa,32854,6,"NUNUNG NURJANAH, S.PD",Perempuan,1,22,26141
BANDUNG BARAT,PAS PHOTO_Mustofa Hilmy_JABAR II.jpg,Partai Kebangkitan Bangsa,105570,7,MUSTOFA HILMY,Laki-Laki,1,22,26141
BANDUNG,foto.jpg,Partai Kebangkitan Bangsa,31250,8,DRS. H. DEDEN HAMDAN M,Laki-Laki,1,22,26141
BANDUNG BARAT,E-FOTO_ITA JULAEHA_JABAR II.jpg,Partai Kebangkitan Bangsa,106228,9,ITA JULAEHA,Perempuan,1,22,26141
BANDUNG BARAT,FOTO.jpeg,Partai Kebangkitan Bangsa,240300,10,MUHAMAD RIFAL,Laki-Laki,1,22,26141
JAKARTA SELATAN,POTO_NENG EEM_JABARIII.jpg,Partai Kebangkitan Bangsa,40689,1,NENG EEM MARHAMAH ZULFA HIZ,Perempuan,1,23,26141
KARANGANYAR,FTO TRBARU-001.jpg,Partai Kebangkitan Bangsa,94799,2,H. OTONG ABDURRAHMAN,Laki-Laki,1,23,26141
BANDUNG,FOTO_ADE_JABAR III.jpeg,Partai Kebangkitan Bangsa,96632,3,KH. ADE ABDUL AZIZ,Laki-Laki,1,23,26141
KOTA BOGOR,foto_Koko_Jabar III.jpeg,Partai Kebangkitan Bangsa,33066,4,"IR. KOKO MURDOKOWIYOTO, MM",Laki-Laki,1,23,26141
